Sport,Year,Sex,Athletes,Bronze,Silver,Gold,No Win,Attempts,Wins
Tennis,2004,M,87,3,3,3,115,124,9
Tennis,2008,F,83,3,3,3,117,126,9
Tennis,2008,M,86,3,3,3,119,128,9
Tennis,2012,F,89,4,4,4,130,142,12
Tennis,2012,M,95,4,4,4,132,144,12
Tennis,2016,F,91,4,4,4,131,143,12
Tennis,2016,M,105,4,4,4,131,143,12
Trampolining,2000,F,12,1,1,1,9,12,3
Trampolining,2000,M,12,1,1,1,9,12,3
Trampolining,2004,F,16,1,1,1,13,16,3
Trampolining,2004,M,16,1,1,1,13,16,3
Trampolining,2008,F,16,1,1,1,13,16,3
Trampolining,2008,M,16,1,1,1,13,16,3
Trampolining,2012,F,16,1,1,1,13,16,3
Trampolining,2012,M,16,1,1,1,13,16,3
Trampolining,2016,F,16,1,1,1,13,16,3
Trampolining,2016,M,16,1,1,1,13,16,3
Triathlon,2000,F,48,1,1,1,45,48,3
Triathlon,2000,M,52,1,1,1,49,52,3
Triathlon,2004,F,50,1,1,1,47,50,3
Triathlon,2004,M,49,1,1,1,46,49,3
Triathlon,2008,F,55,1,1,1,52,55,3
Triathlon,2008,M,55,1,1,1,52,55,3
Triathlon,2012,F,55,1,1,1,52,55,3
Triathlon,2012,M,55,1,1,1,52,55,3
Triathlon,2016,F,55,1,1,1,52,55,3
Triathlon,2016,M,55,1,1,1,52,55,3
Tug-Of-War,1900,M,12,0,6,6,0,12,12
Tug-Of-War,1904,M,30,5,5,5,15,30,15
Tug-Of-War,1906,M,32,8,8,8,8,32,24
Tug-Of-War,1908,M,40,8,8,8,16,40,24
Tug-Of-War,1912,M,16,0,8,8,0,16,16
Tug-Of-War,1920,M,40,8,8,8,16,40,24
Volleyball,1964,F,68,10,12,12,34,68,34
Volleyball,1964,M,111,9,11,11,80,111,31
Volleyball,1968,F,87,12,9,11,55,87,32
Volleyball,1968,M,119,12,11,12,84,119,35
Volleyball,1972,F,91,11,12,12,56,91,35
Volleyball,1972,M,140,12,12,12,104,140,36
Volleyball,1976,F,96,12,12,12,60,96,36
Volleyball,1976,M,120,12,12,12,84,120,36
Volleyball,1980,F,90,10,12,11,57,90,33
Volleyball,1980,M,114,10,12,12,80,114,34
Volleyball,1984,F,90,12,12,10,56,90,34
Volleyball,1984,M,118,12,12,12,82,118,36
Volleyball,1988,F,95,11,12,12,60,95,35
Volleyball,1988,M,144,12,12,12,108,144,36
Volleyball,1992,F,89,12,8,10,59,89,30
Volleyball,1992,M,142,12,12,12,106,142,36
Volleyball,1996,F,134,12,9,10,103,134,31
Volleyball,1996,M,141,12,12,12,105,141,36
Volleyball,2000,F,138,12,12,8,106,138,32
Volleyball,2000,M,141,12,12,11,106,141,35
Volleyball,2004,F,140,12,10,12,106,140,34
Volleyball,2004,M,143,12,12,12,107,143,36
Volleyball,2008,F,140,12,12,12,104,140,36
Volleyball,2008,M,143,12,12,12,107,143,36
Volleyball,2012,F,143,12,12,12,107,143,36
Volleyball,2012,M,144,12,12,12,108,144,36
Volleyball,2016,F,142,12,12,12,106,142,36
Volleyball,2016,M,141,12,12,12,105,141,36
Water Polo,1900,M,53,15,10,7,21,53,32
Water Polo,1904,M,21,7,7,7,0,21,21
Water Polo,1908,M,28,7,7,7,7,28,21
Water Polo,1912,M,45,9,7,7,22,45,23
Water Polo,1920,M,101,10,8,7,76,101,25
Water Polo,1924,M,101,9,11,7,74,101,27
Water Polo,1928,M,112,9,7,8,88,112,24
Water Polo,1932,M,41,7,8,10,16,41,25
Water Polo,1936,M,142,9,11,11,111,142,31
Water Polo,1948,M,156,9,11,9,127,156,29
Water Polo,1952,M,191,11,9,13,158,191,33
Water Polo,1956,M,86,10,8,11,57,86,29
Water Polo,1960,M,150,14,11,12,113,150,37
Water Polo,1964,M,137,11,11,12,103,137,34
Water Polo,1968,M,162,11,11,11,129,162,33
Water Polo,1972,M,176,11,11,11,143,176,33
Water Polo,1976,M,131,10,11,11,99,131,32
Water Polo,1980,M,132,11,11,11,99,132,33
Water Polo,1984,M,153,12,13,13,115,153,38
Water Polo,1988,M,156,13,13,13,117,156,39
Water Polo,1992,M,152,13,12,12,115,152,37
Water Polo,1996,M,153,13,12,12,116,153,37
Water Polo,2000,F,78,13,13,13,39,78,39
Water Polo,2000,M,153,13,12,13,115,153,38
Water Polo,2004,F,101,12,13,13,63,101,38
Water Polo,2004,M,154,13,12,13,116,154,38
Water Polo,2008,F,103,13,13,12,65,103,38
Water Polo,2008,M,153,13,13,13,114,153,39
Water Polo,2012,F,102,13,12,12,65,102,37
Water Polo,2012,M,155,13,13,13,116,155,39
Water Polo,2016,F,104,13,13,13,65,104,39
Water Polo,2016,M,154,13,13,13,115,154,39
Weightlifting,1896,M,7,2,2,2,4,10,6
Weightlifting,1904,M,5,2,2,2,1,7,6
Weightlifting,1906,M,13,4,2,2,14,22,8
Weightlifting,1920,M,53,5,5,5,38,53,15
Weightlifting,1924,M,107,5,5,5,92,107,15
Weightlifting,1928,M,94,5,4,6,79,94,15
Weightlifting,1932,M,29,5,5,5,14,29,15
Weightlifting,1936,M,80,5,4,6,65,80,15
Weightlifting,1948,M,120,6,6,6,102,120,18
Weightlifting,1952,M,139,7,7,7,118,139,21
Weightlifting,1956,M,102,7,7,7,81,102,21
Weightlifting,1960,M,171,7,6,7,151,171,20
Weightlifting,1964,M,149,7,7,7,128,149,21
Weightlifting,1968,M,158,7,7,7,137,158,21
Weightlifting,1972,M,188,9,9,9,161,188,27
Weightlifting,1976,M,172,9,9,9,145,172,27
Weightlifting,1980,M,172,10,10,10,142,172,30
Weightlifting,1984,M,186,10,10,10,156,186,30
Weightlifting,1988,M,226,10,10,10,196,226,30
Weightlifting,1992,M,244,9,10,10,215,244,29
Weightlifting,1996,M,243,10,10,10,213,243,30
Weightlifting,2000,F,85,7,7,7,64,85,21
Weightlifting,2000,M,161,8,8,8,137,161,24
Weightlifting,2004,F,85,7,7,7,64,85,21
Weightlifting,2004,M,164,8,8,8,140,164,24
Weightlifting,2008,F,87,7,7,7,66,87,21
Weightlifting,2008,M,166,8,8,8,142,166,24
Weightlifting,2012,F,102,7,7,7,81,102,21
Weightlifting,2012,M,149,8,8,8,125,149,24
Weightlifting,2016,F,103,7,7,7,82,103,21
Weightlifting,2016,M,152,8,8,8,128,152,24
Wrestling,1896,M,5,1,1,1,2,5,3
Wrestling,1904,M,42,7,7,7,27,48,21
Wrestling,1906,M,36,4,4,4,27,39,12
Wrestling,1908,M,115,9,9,9,106,133,27
Wrestling,1912,M,170,5,6,4,155,170,15
Wrestling,1920,M,152,11,10,10,130,161,31
Wrestling,1924,M,229,13,13,13,205,244,39
Wrestling,1928,M,166,13,13,13,130,169,39
Wrestling,1932,M,79,14,14,14,48,90,42
Wrestling,1936,M,200,14,14,14,168,210,42
Wrestling,1948,M,219,16,16,16,181,229,48
Wrestling,1952,M,244,16,16,16,214,262,48
Wrestling,1956,M,173,16,16,16,147,195,48
Wrestling,1960,M,324,16,16,16,289,337,48
Wrestling,1964,M,275,16,16,16,254,302,48
Wrestling,1968,M,297,16,16,16,285,333,48
Wrestling,1972,M,388,20,20,20,349,409,60
Wrestling,1976,M,330,20,20,20,289,349,60
Wrestling,1980,M,266,20,20,20,210,270,60
Wrestling,1984,M,267,20,20,20,226,286,60
Wrestling,1988,M,429,20,20,20,397,457,60
Wrestling,1992,M,370,20,20,20,311,371,60
Wrestling,1996,M,401,20,20,20,341,401,60
Wrestling,2000,M,314,16,16,16,266,314,48
Wrestling,2004,F,50,4,4,4,38,50,12
Wrestling,2004,M,292,14,14,14,250,292,42
Wrestling,2008,F,66,8,4,4,50,66,16
Wrestling,2008,M,277,27,14,14,222,277,55
Wrestling,2012,F,76,8,4,4,60,76,16
Wrestling,2012,M,263,28,14,14,207,263,56
Wrestling,2016,F,112,12,6,6,88,112,24
Wrestling,2016,M,234,24,12,12,186,234,48
